created_at,user_name,text,retweet_count,favorite_count,entities.hashtags.text,sentiment,search_term,senti_ratio
Fri Dec 03 19:26:29 +0000 2021,lalecox,"RT @jacaristar: Ari: mom can you stop cursing around me? The B word is a bad word

Me: The B word means female dog, it’s not a bad word. Mo…",18,0,[],-7.0,dog,-0.02681992337164751
Fri Dec 03 19:26:29 +0000 2021,dlibyhonlyangel,@91PROJECTS hot dog #Walls #LouisTomlinson,0,0,"['walls', 'louistomlinson']",0.0,dog,0.0
Fri Dec 03 19:26:29 +0000 2021,Faiyz_Afghan,@AsYouNotWish please don't talk about my DOG my dog  name is ( Jinnah ) and my dog is very lovely and kind ❤️,0,0,[],6.0,dog,0.022988505747126436
Fri Dec 03 19:26:29 +0000 2021,92601bot,mayo is dog biscuit addicted and a BAD dog. he destroyed my property,0,0,[],-6.0,dog,-0.022988505747126436
Fri Dec 03 19:26:28 +0000 2021,flowanastasia,"looking for salad ➡️ no salad ➡️ found a dog tho 😊 
excited that Tyson is staying with me for a few days 🐾
hope you… https://t.co/QTDGxdBwuJ",0,0,[],4.0,dog,0.01532567049808429
Fri Dec 03 19:26:27 +0000 2021,OBEY_mySPEED,Girl I like you but why did you dog walk yourself into fire like this?! https://t.co/VuQzDERtah,0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:26:27 +0000 2021,dprnesq,"RT @AdoptionsUk: Please retweet, could you offer a dog A FOSTER HOME #ISLEOFWIGHT #ENGLAND #RSPCA 

Please contact your local shelters wher…",72,0,"['isleofwight', 'england', 'rspca']",2.0,dog,0.007662835249042145
Fri Dec 03 19:26:26 +0000 2021,choccy_milk19,@tick_dog Yes,0,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:26:26 +0000 2021,SweatyGardener,"RT @SinghSahaaaab: Don't feed every dog you see suffering. Some just need strength to bite you.

This tweet isn't just about dogs.",29,0,[],0.0,dog,0.0
Fri Dec 03 19:26:26 +0000 2021,neotechnoIogy,now what the fuck did the dog do,0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 19:26:25 +0000 2021,ivancedric_a,@jess7son That’s either from a really large dog or a human…,0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:25 +0000 2021,SportsbkConsig,"@ECSportsInvest JD!!

You too!!

Headed to the @southpointlv now for a meet up with the boys and likely a dog or two..

SEE YOU SOON!",0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:24 +0000 2021,virgIrish,"Hey, @Goodable I found this sweet story that deserves major props.  https://t.co/gJRsrbM40B",0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:26:24 +0000 2021,Camille80622910,@Michael35311618 Everyone in our family and our dog slipped down the stairs.,0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:24 +0000 2021,SamuelAlim2,"RT @ShibanceInu: SHIBANCE INU 

The farm for all Dog tokens. 

Launch 3rd Dec - BSC 

It's all about the passive income !!

NEW DEX
NEW FAR…",4306,0,[],-1.0,dog,-0.0038314176245210726
Fri Dec 03 19:26:24 +0000 2021,LordZypher,"@1robertjoseph @Ryan_Ting We've reached the point where we need a crazy amount of animal characters. 
- Lucky The P… https://t.co/vQikQdRJ30",0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:26:24 +0000 2021,LazBang,"RT @dondekojo: Nigeria in a nutshell. Lion is roaming freely, dog is chained",2598,0,[],0.0,dog,0.0
Fri Dec 03 19:26:23 +0000 2021,BlackWulfShiki,RT @JoeMiller101: Naughty Dog seeking to bring the same level of ambition and quality of their story-driven games to the unique standalone…,30,0,[],0.0,dog,0.0
Fri Dec 03 19:26:23 +0000 2021,Badwolfgirl18,"Been away for 2 nights and George (my hamster) has gone absolutely mental since I've come home, pretty sure he thin… https://t.co/cqpxYzXTUV",0,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:26:22 +0000 2021,mb281778,"RT @flywheelfund: 🎉🎉FRIYAY GIVEAWAY🎉🎉

GIVING AWAY a RARE Tier 7 @dirtydogsnft 

How to Enter: 
Follow @dirtydogsnft &amp; @flywheelfund 🐶
Like…",117,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:26:21 +0000 2021,dog_rescue58,@LadyJayPersists How is it that these are federally trained and equipped?,0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:20 +0000 2021,goobie2014,@ShennyWalrond @BenjiTibetan @RangerTheDogg @smoke_schnauzer @StanPic25845029 @ctinebean @rotrujo @h_myles… https://t.co/1Jainh6OqM,0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:19 +0000 2021,caffers30,"RT @AdoptionsUk: Please retweet to help Lewie find a home #EDINBURGH #SCOTLAND 🏴󠁧󠁢󠁳󠁣󠁴󠁿
Aged 3 he can live with children aged 12+. He would…",184,0,"['edinburgh', 'scotland']",3.0,dog,0.011494252873563218
Fri Dec 03 19:26:19 +0000 2021,MeninoMaluco_,RT @realEUGENED: Spiderman Saves His Dog in Minecraft https://t.co/3zXosuYaWB,34520,0,[],0.0,dog,0.0
Fri Dec 03 19:26:19 +0000 2021,barstoolchicago,"Playing catch with strangers and heated hot dog debates —&gt; Stool Scenes Chicago Ep 12 is LIVE

Watch:… https://t.co/JRbpCspw7N",0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:19 +0000 2021,hazelk63,"RT @AdoptionsUk: Please retweet to help Suzie find a home #MANCHESTER  #ENGLAND 
Aged 10, enjoys long walks and is good with other dogs. Sh…",73,0,"['manchester', 'england']",8.0,dog,0.03065134099616858
Fri Dec 03 19:26:19 +0000 2021,ManicOlive,"RT @AdoptionsUk: Please retweet to help Amber find a home #WORCESTERSHIRE #ENGLAND 

Retired racing Greyhound aged 2-5, she enjoys toys and…",201,0,"['worcestershire', 'england']",5.0,dog,0.019157088122605363
Fri Dec 03 19:26:18 +0000 2021,sopranos_vibes,My 4-pound dog after the mailman leaves https://t.co/QNCik8NuHT,0,2,[],0.0,dog,0.0
Fri Dec 03 19:26:18 +0000 2021,Julie30216358,"RT @AdoptionsUk: Please retweet to help Amber find a home #WORCESTERSHIRE #ENGLAND 

Retired racing Greyhound aged 2-5, she enjoys toys and…",201,0,"['worcestershire', 'england']",5.0,dog,0.019157088122605363
Fri Dec 03 19:26:17 +0000 2021,NoelSchneider,RT @FaugaleRoyale: That dog said “now listen here mutha____… I ain’t these other dogs” 😭😂 https://t.co/vapRvmhhHw,1544,0,[],0.0,dog,0.0
Fri Dec 03 19:26:17 +0000 2021,VippusaO,"Apples and Dog Pooh
https://t.co/JB9qayvZ2B 04",0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:16 +0000 2021,50s_Kid,"RT @AdoptionsUk: Please retweet to help Lewie find a home #EDINBURGH #SCOTLAND 🏴󠁧󠁢󠁳󠁣󠁴󠁿
Aged 3 he can live with children aged 12+. He would…",184,0,"['edinburgh', 'scotland']",3.0,dog,0.011494252873563218
Fri Dec 03 19:26:16 +0000 2021,SpiffyWiggy,LMAOOOOOOOOO this being said after all the dog convos on here this morning is insane https://t.co/61gQxN1yYh,0,0,[],-2.0,dog,-0.007662835249042145
Fri Dec 03 19:26:15 +0000 2021,DeshonRashPlays,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",316,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 19:26:15 +0000 2021,Sidnerita,The fact that my dogs haven’t eaten the baby’s play gym that is on the floor shows that they really do love him. In… https://t.co/x9RO0QgMH4,0,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 19:26:15 +0000 2021,SusanJPike,Learning to an assistance dog on #InternationalDisabilityDay2021 Nicky @DogsforDisable1 https://t.co/jubF3f2Mhl,0,0,['internationaldisabilityday2021'],0.0,dog,0.0
Fri Dec 03 19:26:14 +0000 2021,_stooped_dog_,@darwwu Из-за брата?,0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:14 +0000 2021,JukeboxPaula,"@sheetz 2 hot dogs with nacho cheese, mustard, chili sauce and Boom Boom sauce "" The Ziggy Dog""",0,0,[],0.0,dog,0.0
Fri Dec 03 19:26:13 +0000 2021,ImAboagye,The Lion is roaming free and the dog is chained. https://t.co/iQQp2bbcS9 https://t.co/HPFUhkRHBW,0,2,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:26:13 +0000 2021,NeurolawGuy,"RT @SVPhillimore: What about my own county, whose data base is groaning with pictures of my dog? Well at least @wiltshirepolice give disabl…",4,0,[],0.0,dog,0.0
Fri Dec 03 19:26:13 +0000 2021,John_Torjo,"RT @AlexLlullTW: 10 lessons my dog taught me about content creation, building a business, and life.

Yes, you read that right. I said my do…",4,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:26:12 +0000 2021,dog__1nu,"RT @_O___ul: ㅤ     
________________ Just @_O___ul

🕐 12/3 28:30 #28時半
💎 (確)1OOO×P (般)5OO×P
🤍 #デュオ #デュオゲリラ
🥣 @Sk__369 @_O___ul (全員)
🐰 ID＋28…",42,0,"['28時半', 'デュオ', 'デュオゲリラ']",0.0,dog,0.0
Fri Dec 03 19:26:12 +0000 2021,choccy_milk19,@tick_dog *real*,0,0,[],0.0,dog,0.0
